Year,State,Topic,Mortality,Gender,Race,
2017,AK,Heart Disease Mortality,172.9,Overall,Overall,
2017,AK,Heart Disease Mortality,172.2,Overall,Overall,
2017,AK,Heart Disease Mortality,243.3,Overall,Overall,
2017,AK,Heart Disease Mortality,337.1,Overall,Overall,
2017,AK,Heart Disease Mortality,,Overall,Overall,
2017,AK,Heart Disease Mortality,240.9,Overall,Overall,
2017,AK,Heart Disease Mortality,366.5,Overall,Overall,
2017,AK,Heart Disease Mortality,276.7,Overall,Overall,
2017,AK,Heart Disease Mortality,261,Overall,Overall,
2017,AK,Heart Disease Mortality,272,Overall,Overall,
2017,AK,Heart Disease Mortality,266.8,Overall,Overall,
2017,AK,Heart Disease Mortality,284.2,Overall,Overall,
2017,AK,Heart Disease Mortality,277.8,Overall,Overall,
2017,AK,Heart Disease Mortality,290.3,Overall,Overall,
2017,AK,Heart Disease Mortality,95.2,Overall,Overall,
2017,AK,Heart Disease Mortality,289.5,Overall,Overall,
2017,AK,Heart Disease Mortality,228.3,Overall,Overall,
2017,AK,Heart Disease Mortality,471.8,Overall,Overall,
2017,AK,Heart Disease Mortality,332.5,Overall,Overall,
2017,AK,Heart Disease Mortality,392,Overall,Overall,
2017,AK,Heart Disease Mortality,244.3,Overall,Overall,
2017,AK,Heart Disease Mortality,289.4,Overall,Overall,
2017,AK,Heart Disease Mortality,283.5,Overall,Overall,
2017,AK,Heart Disease Mortality,,Overall,Overall,
2017,AK,Heart Disease Mortality,254.4,Overall,Overall,
2017,AK,Heart Disease Mortality,239.2,Overall,Overall,
2017,AK,Heart Disease Mortality,256.7,Overall,Overall,
2017,AK,Heart Disease Mortality,,Overall,Overall,
2017,AK,Heart Disease Mortality,280.6,Overall,Overall,
2017,OH,Heart Disease Mortality,2677,Male,Black,
2017,MO,Heart Disease Mortality,2045.8,Male,Black,
2017,VA,Heart Disease Mortality,1790.1,Male,Black,
2017,TN,Heart Disease Mortality,1705.4,Male,Black,
2017,PA,Heart Disease Mortality,1292.6,Male,Black,
2017,OK,Heart Disease Mortality,1268.2,Male,Black,
2017,VA,Heart Disease Mortality,1201.8,Male,Black,
2017,OH,Heart Disease Mortality,1191.9,Male,Black,
2017,OK,Heart Disease Mortality,1183.7,Male,American Indian and Alaskan Native,
2017,AK,Heart Disease Mortality,1174.2,Male,American Indian and Alaskan Native,
2017,AR,Heart Disease Mortality,1116.4,Male,Black,
2017,KS,Heart Disease Mortality,1116.2,Male,American Indian and Alaskan Native,
2017,LA,Heart Disease Mortality,1102.8,Male,White,
2017,LA,Heart Disease Mortality,1084.3,Male,Overall,
2017,ND,Heart Disease Mortality,1083.8,Male,American Indian and Alaskan Native,
2017,MO,Heart Disease Mortality,1060,Male,Black,
2017,ND,Heart Disease Mortality,1041.3,Male,American Indian and Alaskan Native,
2017,MS,Heart Disease Mortality,1018.5,Male,American Indian and Alaskan Native,
2017,GA,Heart Disease Mortality,1016.8,Male,Black,
2017,NC,Heart Disease Mortality,1016.7,Male,Black,
2017,TX,Heart Disease Mortality,1016.3,Male,Black,
2017,OK,Heart Disease Mortality,1014,Male,Black,
2017,KY,Heart Disease Mortality,1002.3,Male,White,
2017,IA,Heart Disease Mortality,1001.6,Male,Hispanic,
2017,OK,Heart Disease Mortality,1000.6,Male,Black,
2017,AR,Heart Disease Mortality,999.6,Male,Overall,
2017,VA,Heart Disease Mortality,998.4,Male,Black,
2017,KS,Heart Disease Mortality,997.2,Male,American Indian and Alaskan Native,
2017,TX,Heart Disease Mortality,993,Male,Hispanic,
